Delegation,Region,CDTMR,CRSR,CSR-1,CSR-2,CSU-1,CSU-2,DR,LSP,Cluster_KMeans,Cluster_Hierarchique,Cluster_DBSCAN
Ouezzane,Tanger-Tetouan-Al Hoceima,0.0,0.0,7.0,10.0,5.0,1.0,17.0,0.0,2,1,4
Oujda Angad,Oriental,1.0,1.0,8.0,0.0,25.0,1.0,1.0,1.0,3,4,-1
Rabat,Rabat-Salé-Kénitra,1.0,2.0,0.0,0.0,15.0,9.0,0.0,0.0,5,6,-1
Rehamena,Marrakech-Safi,1.0,1.0,15.0,8.0,4.0,1.0,5.0,0.0,8,7,0
Safi,Marrakech-Safi,1.0,1.0,17.0,5.0,16.0,2.0,4.0,1.0,6,5,0
Salé,Rabat-Salé-Kénitra,1.0,1.0,2.0,0.0,30.0,1.0,1.0,0.0,4,4,-1
Sefrou,Fès-Meknès,1.0,1.0,12.0,6.0,5.0,3.0,7.0,0.0,8,7,0
Settat,Casablanca-Settat,2.0,0.0,35.0,9.0,8.0,5.0,29.0,1.0,7,3,-1
Sidi Bennour,Casablanca-Settat,1.0,1.0,20.0,4.0,4.0,1.0,2.0,0.0,8,7,0
Sidi Bernoussi,Casablanca-Settat,1.0,0.0,0.0,0.0,11.0,3.0,0.0,0.0,0,0,3
Sidi Ifni,Guelmim-Oued Noun,0.0,0.0,10.0,6.0,2.0,2.0,19.0,0.0,2,1,4
Sidi Kacem,Rabat-Salé-Kénitra,1.0,1.0,21.0,3.0,5.0,3.0,8.0,1.0,6,5,0
Sidi Slimane,Rabat-Salé-Kénitra,1.0,0.0,12.0,1.0,5.0,1.0,10.0,0.0,0,0,3
Skhirate-Temara,Rabat-Salé-Kénitra,2.0,1.0,6.0,3.0,12.0,8.0,1.0,0.0,5,6,-1
Tan Tan,Guelmim-Oued Noun,0.0,0.0,5.0,0.0,4.0,1.0,0.0,0.0,0,0,3
Tanger Assilah,Tanger-Tetouan-Al Hoceima,1.0,1.0,6.0,3.0,21.0,7.0,0.0,1.0,6,2,-1
Taounate,Fès-Meknès,1.0,1.0,34.0,10.0,3.0,3.0,27.0,1.0,1,8,2
Taourirt,Oriental,1.0,0.0,10.0,1.0,5.0,1.0,5.0,0.0,0,0,3
Tarfaya,Laayoune-Sakia El Hamra,0.0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,0,0,3
Taroudant,Souss-Massa,1.0,1.0,61.0,20.0,6.0,6.0,31.0,1.0,7,3,-1
Tata,Souss-Massa,0.0,0.0,8.0,8.0,4.0,3.0,13.0,0.0,2,1,4
Taza,Fès-Meknès,1.0,1.0,20.0,14.0,8.0,3.0,29.0,1.0,1,8,2
Tetouan,Tanger-Tetouan-Al Hoceima,1.0,1.0,17.0,3.0,18.0,1.0,1.0,1.0,6,5,0
Tinghir,Drâa-Tafilalet,0.0,0.0,13.0,9.0,3.0,1.0,16.0,0.0,2,1,4
Tiznit,Souss-Massa,1.0,1.0,11.0,12.0,2.0,1.0,29.0,1.0,1,5,0
Youssoufia,Marrakech-Safi,0.0,1.0,6.0,3.0,3.0,1.0,4.0,0.0,8,7,-1
Zagora,Drâa-Tafilalet,0.0,0.0,17.0,10.0,3.0,1.0,16.0,0.0,2,1,4
